data,municipio,vlr_cesta_basica
01-01-2010,Brasília,214.47
01-02-2010,Brasília,216.89
01-03-2010,Brasília,236.41
01-04-2010,Brasília,237.76
01-05-2010,Brasília,233.25
01-06-2010,Brasília,230.39
01-07-2010,Brasília,221.17
01-08-2010,Brasília,213.98
01-09-2010,Brasília,215.99
01-10-2010,Brasília,224.24
01-11-2010,Brasília,236.73
01-12-2010,Brasília,233.67
01-01-2011,Brasília,255.65
01-02-2011,Brasília,250.48
01-03-2011,Brasília,250.35
01-04-2011,Brasília,248.32
01-05-2011,Brasília,248.93
01-06-2011,Brasília,246.1
01-07-2011,Brasília,241.89
01-08-2011,Brasília,244.24
01-09-2011,Brasília,241.9
01-10-2011,Brasília,243.11
01-11-2011,Brasília,249.13
01-12-2011,Brasília,247.88
01-01-2012,Brasília,259.59
01-02-2012,Brasília,255.91
01-03-2012,Brasília,253.7
01-04-2012,Brasília,255.5
01-05-2012,Brasília,253.21
01-06-2012,Brasília,259.7
01-07-2012,Brasília,275.58
01-08-2012,Brasília,284.5
01-09-2012,Brasília,281.87
01-10-2012,Brasília,271.55
01-11-2012,Brasília,266.85
01-12-2012,Brasília,275.95
01-01-2013,Brasília,307.14
01-02-2013,Brasília,306.39
01-03-2013,Brasília,310.75
01-04-2013,Brasília,309.68
01-05-2013,Brasília,303.37
01-06-2013,Brasília,312.09
01-07-2013,Brasília,284.45
01-08-2013,Brasília,286.49
01-09-2013,Brasília,276.14
01-10-2013,Brasília,284.12
01-11-2013,Brasília,286.35
01-12-2013,Brasília,289.72
01-01-2014,Brasília,304.09
01-02-2014,Brasília,295.23
01-03-2014,Brasília,323.02
01-04-2014,Brasília,331.53
01-05-2014,Brasília,331.19
01-06-2014,Brasília,324.07
01-07-2014,Brasília,300.86
01-08-2014,Brasília,297.27
01-09-2014,Brasília,300.54
01-10-2014,Brasília,303.28
01-11-2014,Brasília,321.05
01-12-2014,Brasília,329.66
01-01-2015,Brasília,353.6
01-02-2015,Brasília,355.7
01-03-2015,Brasília,351.93
01-04-2015,Brasília,358.0
01-05-2015,Brasília,370.23
01-06-2015,Brasília,359.61
01-07-2015,Brasília,354.94
01-08-2015,Brasília,342.66
01-09-2015,Brasília,338.28
01-10-2015,Brasília,345.38
01-11-2015,Brasília,377.24
01-12-2015,Brasília,392.93
01-12-2015 (1),Brasília,398.65
01-01-2016,Brasília,451.76
